vid_id,vid,num_frames,inference_time_ms,latency_time_ms,frame_inference_time_ms,frame_latency_time_ms
482f2643-7eea-426d-8643-faae675739a0,2025-11-28_053936_de4b6d58-5325-4793-8df3-52c5fc65878c,163,210044.533,246044.799,1288.617,1509.477
76623365-f1ed-409e-a111-e40020eb6217,2025-11-28_075346_42aaa445-db18-438f-836a-752ced15cd22,257,331131.546,382917.476,1288.45,1489.951
5870ba4c-58b7-489b-9d57-4319593579bd,2025-12-01_064005_348424dd-1e9e-45be-9df0-1a2cbe98df3c,38,48946.787,56697.084,1288.073,1492.029
873f0b89-a563-4440-b7f6-bdb0d22dcd3f,2025-12-12_052743_5ac8852a-cea2-4a6b-82df-a6bf204255f8,107,137842.023,160307.455,1288.243,1498.201
bbb7ed0c-3adc-4d61-a73b-eeddeecea29d,2025-12-15_003847_ba96a697-e0b8-40e4-bf84-825d6a982050,125,161065.656,186716.078,1288.525,1493.729
23af9a66-08d4-447b-8cbc-38dd24f6192e,2025-12-15_021127_5d803b23-52a5-4815-9fb1-988e6b759959,99,127462.108,147306.528,1287.496,1487.945
8168397b-ede6-44fd-9afb-428cf89a5416,0409ea20af4d2089_83d5bcbc-3175-4fdc-b935-4162c087b324,83,107389.031,125472.16,1293.844,1511.713
de079ceb-817c-4296-8f54-7312f03e4bee,dfe1dfc888193864_88e2e864-4689-41d0-8701-c71b1666962e,91,117200.105,136541.509,1287.913,1500.456
333f52ce-20ef-449f-8bd4-534de18395c1,f4134d698722eec5_3434b65c-895e-4c3a-b9d6-30e9eb6928d0,65,83653.015,97517.552,1286.969,1500.27
66940b12-6da7-4b1a-b58d-b271c6cbb305,ef8ad6b8f2aca05e_e23299b4-3dfd-40c1-8dcf-22cc0281aec2,217,279321.047,325095.894,1287.194,1498.138
61b05e08-3867-45be-bd5a-293f28f430d4,e4b239254fc5ed78_b3bcfb6b-6191-449a-a8e7-64a8b0771854,19,24469.986,28442.995,1287.894,1497.0
ba5ce3d3-2bc3-47c2-9e4e-dd0df1fd8860,ae6fd2581ddb582b_9127e493-745c-410a-a255-d63acbe44fd6,20,25757.254,29818.772,1287.863,1490.939
7aecc574-96af-4618-ae73-77b7f4984275,a2d73b4171e25875_d72409e8-b259-4da7-85b2-f84ea54222ab,38,48941.887,56775.76,1287.944,1494.099
6bd417a8-de56-4fb9-9ae4-8f6086c3fd0f,234b9596e5898889_5d891953-7d9a-47bf-9cdb-850305b75650,7,9020.132,10517.8,1288.59,1502.543
5a764d15-7993-4308-a4ea-593e997d50cf,21f15337b82011ac_1ffbac7b-10d8-488e-9046-b527428e8bba,38,48940.411,56706.312,1287.906,1492.271
37b3621b-b6b5-4271-8ff5-f3134392dd14,7fb91d21546408a2_5900a5c3-6fc5-492c-a17c-30a4a1d6ef45,51,65662.907,76324.138,1287.508,1496.552
88892b8a-9a15-4548-9f0a-54d1ae59b75e,6cfb1ba29a36ae98_c8a2b6a3-70ec-4a07-a5be-16b6c8c9135b,47,60526.569,70281.977,1287.799,1495.361
f598c748-53b8-43b2-b5ab-de9b43a1dbcd,6a028e65be5f3e72_b1a1f87c-ffd5-416a-a29c-dbbdf6260368,42,54072.403,62719.574,1287.438,1493.323
9164f4ed-0087-45ab-bea7-2048c5c22795,4bf394707daf5e2e_49a7469f-fd22-4c7d-a3ec-25cab4892895,51,65631.096,76056.712,1286.884,1491.308
9604fde0-d0db-462e-be4a-3cb2f9f6b29c,0c11abcb3064d945_2c2d4bfc-0833-44a3-a81f-9b40eee2b33e,31,39923.263,46318.342,1287.847,1494.14
176f61e7-06d3-4bdc-8edc-b548a1387e9d,fefe4f80a578a4db_61049b53-5ad8-4ee8-b337-739dec2db120,58,74645.532,86489.893,1286.992,1491.205
462cad27-c478-404c-a7d6-e9ee086431c2,eda3d67004400d7f_5da5f4d4-7334-4e08-9613-57e1722984f7,24,30899.383,35748.195,1287.474,1489.508
37925524-6cbe-4213-ae81-094d39e30418,e19a3058e4b8513e_dcdd1dfa-c12f-4d57-be18-c89c3bf41489,123,158348.046,183166.413,1287.382,1489.158
34b69873-36a3-4de7-8923-591eafe4553a,dcd44647e6aa9f59_20df37e1-10a6-4a61-b226-6a1dbd3b58c2,136,175048.925,202554.892,1287.124,1489.374
3daa2868-5469-4f1d-a268-45c14f8bbd38,dbb59f2e3439c4eb_9b199d1d-f6e8-4caa-a872-4ad5a40e2b19,100,128756.188,149324.485,1287.562,1493.245
064fa016-653d-4057-811f-f4b9ccd269df,ca141b97d55814cf_b912ada0-1f85-4bf8-8fe4-983897406a88,114,146819.348,169872.07,1287.889,1490.106
c7e3ab4d-0839-451a-a9b2-d567567f9602,a60ce82d5287f8c1_6d5e8069-2930-4940-a85c-c21e127f32bc,49,63088.531,73163.944,1287.521,1493.142
93eaec3f-a31e-4058-aac8-16699a8001d2,60980501b10504dc_89bb8c1a-31e8-4582-8c51-a5267356e2f2,97,124923.808,144805.092,1287.874,1492.836
4a9743ac-763c-4bbc-b22e-8622821c7f7e,48460807b1547a94_2a5a7d96-500c-4ab6-8b24-a727a8687932,219,282031.435,326940.995,1287.815,1492.881
d02e624f-ee3c-4677-8e8c-3676d34b174b,787952f918d925db_70b54719-f9ce-43bd-b2ca-800e1c676e8b,90,115891.783,134423.617,1287.686,1493.596
6d38279f-80db-4738-88fb-f0d70842b162,718788f156f5d372_c8170f06-df8c-44eb-b4de-471e2ca7b37b,77,99170.429,114979.885,1287.928,1493.245
ad8cea90-5a8b-46ba-b79e-fced012e6a9e,4826cf7214d68d96_32a393a2-08bc-47e5-9826-6560f36c51e0,35,45067.036,52258.465,1287.63,1493.099
d2d16ea9-8b31-4025-b47f-06d11fb47d57,90f607d5b3838c07_4aa9fc18-537e-48cd-b756-57482983eb95,181,233081.505,270030.783,1287.743,1491.883
0789051d-c2c3-472d-ac01-57f17d8761c4,027f6d0ce122a990_ca3db7e5-a522-4ebd-be1e-267a67d25dcf,78,100404.741,116490.365,1287.24,1493.466
63d0193e-77b4-4a87-9a50-935054b3c7c3,2cc6fb21357b9412_354f2473-ace2-413e-bc0a-fd9bf7575496,292,375974.305,435972.809,1287.583,1493.058
251692a9-3c19-4cf0-93ac-e50d8714575c,0ac1a535e0177700_cf166d63-675b-4ef1-9b93-32432e0811ee,53,68229.186,79111.282,1287.343,1492.666
d4db73d4-e084-448b-a294-1a033dfdc4cb,2025-12-05_075123_1cdb3944-32d2-44b7-96a1-ff7d69014b09,60,77246.878,89611.538,1287.448,1493.526
08b1d3c7-7585-4701-9e8f-6511bbf71822,adfaa4c9515dd647_69dc3a2b-525d-43e5-b361-2f165982a8c4,34,43771.505,50669.726,1287.397,1490.286
9f3ae8af-c7b3-4edb-9e95-ef983c00b054,3b4212d9b1dde96f_8be8f377-55f1-4396-9026-af6bf4caf832,18,23168.887,26926.594,1287.16,1495.922
621a134f-27a4-4d0d-9c76-e11fc3d68616,15b4ab836fa9fbc7_2d7f73d1-3a3c-4fe7-8c73-8ecc3483d530,421,541984.142,627813.411,1287.373,1491.243
766a38bf-37a7-472f-94ff-9a1e9fc21570,199c42cda4a54270_cef2879f-868b-459a-8330-74dc2f0344ee,31,39900.775,46270.844,1287.122,1492.608
07c6623a-b240-474e-a5c6-238584ff0921,404e37e6c297372b_1a416681-5eb4-4d32-ba73-f53b0cfcfaf4,214,276359.752,322414.689,1291.401,1506.611
78acd00e-fc3c-40b3-a795-44718ff6b8fe,759c960f4882d210_70b94d29-6e56-4331-9fe8-0f1a512bac0b,236,304109.27,352633.532,1288.599,1494.21
4c889612-05ba-45f7-b1b8-4e35f1ec5d1a,f2ad364cf5776bf7_d31068d4-91ea-4ca3-9d03-332d58aab367,176,226700.099,262367.717,1288.069,1490.726
